,,,,,,,,,,,,,,
State,City,year,Population,Violent_crime,Murder,Rape_revised_definition,Rape_legacy_definition,Robbery,Aggravated_assault,Property_crime,Burglary,Larceny_theft,Motor_vehicle_theft,Arson
CALIFORNIA,ANAHEIM,2014,"346,956",537,5,0,37,203,292,"4,206",619,"2,915",672,9
CALIFORNIA,ANAHEIM,2015,"346,956",628,10,65,0,211,342,"5,018",724,"3,472",822,0
CALIFORNIA,ANTIOCH,2014,"108,223",419,3,0,30,148,238,"2,131",701,921,509,23
CALIFORNIA,ANTIOCH,2015,"108,223",387,2,31,0,135,219,"1,931",496,895,540,18
CALIFORNIA,BAKERSFIELD,2014,"367,406",861,7,0,8,334,512,"7,609","2,147","4,354","1,108",203
CALIFORNIA,BAKERSFIELD,2015,"367,406",879,12,38,0,324,505,"7,748","1,885","4,661","1,202",204
CALIFORNIA,BERKELEY,2014,"117,753",179,1,20,0,108,50,"2,391",410,"1,680",301,5
CALIFORNIA,BERKELEY,2015,"117,753",269,0,20,0,165,84,"2,909",587,"1,971",351,9
CALIFORNIA,BURBANK,2014,"105,041",70,1,0,4,27,38,"1,264",161,"1,011",92,9
CALIFORNIA,BURBANK,2015,"105,041",69,0,5,0,25,39,"1,282",143,"1,047",92,4
CALIFORNIA,CARLSBAD,2014,"112,297",101,1,0,8,22,70,894,188,655,51,2
CALIFORNIA,CARLSBAD,2015,"112,297",88,0,15,0,18,55,"1,028",188,782,58,5
CALIFORNIA,CHULA VISTA,2014,"259,894",292,3,0,20,107,162,"2,350",313,"1,605",432,21
CALIFORNIA,CHULA VISTA,2015,"259,894",318,2,30,0,121,165,"2,210",305,"1,511",394,0
CALIFORNIA,CONCORD,2014,"126,744",217,1,12,0,78,126,"2,466",417,"1,597",452,2
CALIFORNIA,CONCORD,2015,"126,744",241,0,15,0,91,135,"2,367",338,"1,512",517,4
CALIFORNIA,CORONA,2014,"161,128",90,0,0,13,34,43,"1,732",270,"1,209",253,10
CALIFORNIA,CORONA,2015,"161,128",93,0,9,0,42,42,"1,794",275,"1,310",209,5
CALIFORNIA,COSTA MESA,2014,"112,709",127,0,0,15,38,74,"1,675",273,"1,235",167,12
CALIFORNIA,COSTA MESA,2015,"112,709",187,1,25,0,67,94,"2,345",336,"1,777",232,8
CALIFORNIA,DALY CITY,2014,"105,628",100,2,12,0,39,47,817,163,519,135,6
CALIFORNIA,DALY CITY,2015,"105,628",132,0,8,0,49,75,965,180,646,139,2
CALIFORNIA,DOWNEY,2014,"113,595",146,2,0,9,62,73,"1,444",240,835,369,9
CALIFORNIA,DOWNEY,2015,"113,595",150,2,11,0,84,53,"1,356",210,784,362,5
CALIFORNIA,EL CAJON,2014,"102,838",188,2,0,11,83,92,"1,177",203,806,168,4
CALIFORNIA,EL CAJON,2015,"102,838",158,0,25,0,42,91,"1,118",179,766,173,8
CALIFORNIA,ELK GROVE,2014,"162,957",315,0,16,0,56,243,"1,427",291,"1,051",85,3
CALIFORNIA,ELK GROVE,2015,"162,957",296,1,19,0,51,225,"1,539",318,"1,109",112,3
CALIFORNIA,EL MONTE,2014,"116,220",174,1,0,7,81,85,"1,063",231,566,266,1
CALIFORNIA,EL MONTE,2015,"116,220",195,2,13,0,65,115,"1,057",224,525,308,12
CALIFORNIA,ESCONDIDO,2014,"149,839",245,0,0,11,69,165,"1,628",260,"1,063",305,10
CALIFORNIA,ESCONDIDO,2015,"149,839",270,5,30,0,89,146,"1,636",218,"1,103",315,7
CALIFORNIA,FAIRFIELD,2014,"110,300",276,4,0,20,104,148,"1,854",313,"1,217",324,7
CALIFORNIA,FAIRFIELD,2015,"110,300",247,2,17,0,80,148,"1,739",247,"1,246",246,11
CALIFORNIA,FONTANA,2014,"204,532",366,2,0,8,100,256,"1,823",321,"1,075",427,4
CALIFORNIA,FONTANA,2015,"204,532",384,2,19,0,100,263,"2,157",375,"1,271",511,3
CALIFORNIA,FREMONT,2014,"227,575",115,1,0,7,51,56,"2,093",401,"1,389",303,9
CALIFORNIA,FREMONT,2015,"227,575",144,1,19,0,70,54,"2,172",438,"1,390",344,9
CALIFORNIA,FULLERTON,2014,"139,895",163,0,0,14,57,92,"1,638",276,"1,194",168,16
